Name,Kategorie,Unterkategorie,Menge,Status,Geschmack,Nutzung,Beschreibung
Monin Blue Curaçao,Sirup / Mixer,Sirup,1 Flasche,Unbekannt,"Trocken, Süß, Zitrisch","Longdrink & Highball, Modifier","Blauer Curaçao-Sirup mit süßer Orangennote und kräftiger Farbe. Für farbige, fruchtige Drinks und verspielte alkoholfreie Serves."
Monin Crème de Menthe Verte,Sirup / Mixer,Sirup,1 Flasche,Unbekannt,"Trocken, Süß, Kräuterig","Longdrink & Highball, Modifier","Grüner Minzsirup mit süßer Frische und deutlicher Kräuternote. Gut für Dessertdrinks, frische Longdrinks und auffällige Mint-Serves."
Monin Gomme Syrup,Sirup / Mixer,Sirup,1 Flasche,Unbekannt,"Trocken, Süß","Longdrink & Highball, Modifier","Gomme-Sirup mit weicher Süße und seidiger Textur. Besonders hilfreich, wenn Cocktails runder, glatter und eleganter wirken sollen."
Monin Weißer Rohrzucker Sirup,Sirup / Mixer,Sirup,2 Flaschen,Unbekannt,Süß,"Modifier, Frisch & Sour, Longdrink & Highball, Cocktailbasis","Klarer Rohrzuckersirup für ausgewogene Süße in Sours, Highballs und klassischen Cocktails. Neutral, sauber und vielseitig, wenn ein Drink Struktur braucht, ohne zusätzliche Frucht- oder Gewürznoten einzubringen."
Pircher Holunderblüten Likör,Likör,Holunderblütenlikör,1 Flasche,Ungeöffnet,"Floral, Süß, Fruchtig","Modifier, Spritz, Frisch & Sour, Aperitif","Floraler Holunderblütenlikör mit feiner Süße und frischem Blütenaroma. Elegant als Modifier für Spritz-Varianten, Sours und leichte Sommerdrinks, wenn Holunder nicht nur süßen, sondern auch aromatisch tragen soll."
Riemerschmid Mandelsirup,Sirup / Mixer,Sirup,1 Flasche,Unbekannt,"Trocken, Süß","Longdrink & Highball, Modifier, Tiki & Tropical","Mandelsirup mit süßer Nussnote und weichem Marzipananklang. Wichtig für tropische Drinks, Mai Tai-Varianten und cremige Dessert-Cocktails."
Riemerschmid Vanille Bar-Sirup,Sirup / Mixer,Sirup,1 Flasche,Unbekannt,"Trocken, Süß","Longdrink & Highball, Modifier","Vanillesirup mit weicher Süße und warmer Dessertnote. Vielseitig für Kaffee-Drinks, Sours, Longdrinks und cremige Cocktails."
Zitronensaft,Saft,Saft,2 Flaschen,Ungeöffnet,"Zitrisch, Trocken","Modifier, Frisch & Sour","Zitronensaft mit klarer Säure und frischer Zitrusnote. Eine Basiszutat für Sours, Collins-Drinks und viele balancierte Cocktails."
Especial Reposado,Tequila,Reposado,1 Flasche,Unbekannt,Trocken,"Cocktailbasis, Pur, Spirit-Forward, Frisch & Sour","Reposado-Tequila mit milder Agave, leichter Holzreife und weicher Würze. Vielseitig für Margaritas, Longdrinks und einfache Tequila-Serves."
Cuervo Silver,Tequila,Blanco/Silver,1 Flasche,Unbekannt,Trocken,"Cocktailbasis, Pur, Spirit-Forward, Frisch & Sour","Klarer Silver-Tequila mit frischer Agave und trockenem, direktem Charakter. Eine praktische Basis für Margaritas, Sours und frische Tequila-Drinks."
Patrón Añejo,Tequila,Añejo,1 Flasche,Ungeöffnet,Trocken,"Cocktailbasis, Pur, Spirit-Forward, Frisch & Sour","Añejo-Tequila mit weicher Agave, Holz, Vanille und warmer Würze. Eher für puren Genuss und elegante Spirit-Forward-Drinks als für einfache Mixgetränke."
Graham’s 20 Year Tawny Port,Vermouth / Fortified Wine,Port,1 Flasche,Geöffnet,"Süß, Nussig, Fruchtig","Digestif, Modifier","Gereifter Tawny Port aus dem Douro mit nussigem Charakter, reifer Frucht, Orangenschale, weicher Süße und langem, elegantem Finish. Er passt besonders gut zu Desserts, Nüssen, Trockenfrüchten und dunklen Cocktail-Twists."
PX Sherry,Vermouth / Fortified Wine,PX Sherry,1 Flasche,Ungeöffnet,"Süß, Fruchtig, Kaffee","Digestif, Modifier","Sehr süßer Pedro-Ximénez-Sherry mit Rosinen, Feigen, Datteln, Honig, dunkler Schokolade, Kaffee und Lakritz. PX bringt Tiefe, Dessertcharakter und eine samtige Süße in Drinks oder wird pur zu Dessert serviert."
Noilly Prat Dry,Vermouth / Fortified Wine,Dry Vermouth,1 Flasche,Unbekannt,"Trocken, Fruchtig, Kräuterig, Zitrisch, Floral","Aperitif, Modifier, Spirit-Forward","Französischer Dry Vermouth aus Marseillan mit trockener Weinbasis, Kräutern, Kamille, Koriander, Bitterorange und Holunderblüte. Noilly Prat Dry ist ein klassischer Baustein für Martinis, Aperitifs und fein strukturierte Stirred Drinks."
Noilly Prat Rouge,Vermouth / Fortified Wine,Red Vermouth,1 Flasche,Unbekannt,"Fruchtig, Süß, Bitter, Kräuterig","Aperitif, Modifier, Spirit-Forward","Roter französischer Vermouth mit süßer Orange, Zimt, Chinarinde, Nelke und Kakao. Noilly Prat Rouge wirkt würzig, rund und aromatisch und passt als Aperitif, zu dunkleren Stirred Drinks oder als Begleiter zu Charcuterie und Dessert."
Absolut 100,Vodka,Vodka,1 Flasche,Unbekannt,Trocken,"Cocktailbasis, Longdrink & Highball, Frisch & Sour","Neutraler Vodka als vielseitige Basis für Highballs, Sours und klare Cocktails."
Absolut Elyx,Vodka,Vodka,1 Flasche,Unbekannt,Trocken,"Cocktailbasis, Longdrink & Highball, Frisch & Sour","Neutraler Vodka als vielseitige Basis für Highballs, Sours und klare Cocktails."
Ukiyo Rice Vodka,Vodka,Vodka,1 Flasche,Unbekannt,Trocken,"Cocktailbasis, Longdrink & Highball, Frisch & Sour","Neutraler Vodka als vielseitige Basis für Highballs, Sours und klare Cocktails."
Beyerskloof Synergy Cape Blend,Wein / Champagner,Rotwein Südafrika,1 Flasche,Ungeöffnet,"Trocken, Fruchtig","Pur, Digestif","Trockener südafrikanischer Rotwein mit dunkler Frucht, Würze und kräftiger Struktur. Ein Essenswein für ruhige Abende, nicht primär eine Cocktailzutat."
Les Granges des Domaines Edmond de Rothschild 2014,Wein / Champagner,Rotwein Bordeaux,1 Flasche,Ungeöffnet,"Trocken, Fruchtig","Pur, Digestif","Reifer Bordeaux-Rotwein mit dunkler Frucht, trockener Struktur und klassischer Eleganz. Ein ruhiger Wein für Essen, Käse und besondere Abende."
Château Bonalgue Pomerol 2018,Wein / Champagner,Rotwein Bordeaux,1 Flasche,Ungeöffnet,"Trocken, Fruchtig","Pur, Digestif","Eleganter Pomerol mit dunkler Frucht, weicher Tiefe und trockener Struktur. Ein besonderer Rotwein für Essen, Käse und ruhige Genussmomente."
La Monetta Gavi 2023,Wein / Champagner,Weißwein,1 Flasche,Unbekannt,"Trocken, Zitrisch, Fruchtig, Floral","Pur, Aperitif","Trockener italienischer Weißwein mit Zitrus, feiner Frucht und klarer Frische. Gut als Aperitif, zu leichten Speisen oder für Gäste, die es elegant und trocken mögen."
Silvaner Juliusspital Iphöfer Julius-Echter-Berg 2022,Wein / Champagner,Weißwein,1 Flasche,Ungeöffnet,"Trocken, Zitrisch, Fruchtig","Pur, Aperitif","Trockener Silvaner mit Zitrus, feiner Frucht und mineralischem Eindruck. Ein klarer, eleganter Weißwein für Aperitif, Essen und ruhige Tischmomente."
Champagne Vive Monsigny Brut Réserve,Wein / Champagner,Champagner,1 Flasche,Ungeöffnet,"Trocken, Zitrisch, Fruchtig","Pur, Aperitif","Trockener Champagner mit Zitrus, feiner Frucht und lebendiger Frische. Elegant als Aperitif, für besondere Momente oder zum Anstoßen mit Gästen."
Bulleit Bourbon 10 Years,Whisky,Bourbon,2 Flaschen,Geöffnet,"Süß, Rauchig, Trocken","Pur, Cocktailbasis, Spirit-Forward, Frisch & Sour","Gereifter Bourbon mit viel Eiche, Vanille, Trockenfrucht und einem langen, leicht rauchigen Abgang. Kräftig, rund und sehr gut für puren Genuss, Old Fashioned oder Whiskey Sour mit mehr Tiefe."
Bulleit Rye,Whisky,Rye Whiskey,1 Flasche,Ungeöffnet,"Trocken, Süß","Cocktailbasis, Spirit-Forward, Pur","Würziger Rye Whiskey mit Vanille, Honig, Eiche und klarer Roggenwürze. Trocken, griffig und cocktailstark — besonders passend für kräftige Klassiker wie Manhattan, Old Fashioned oder Sazerac."
Glenfiddich 15 Solera Reserve,Whisky,Scotch Single Malt,1 Flasche,Unbekannt,"Süß, Fruchtig, Nussig","Pur, Digestif, Spirit-Forward","Runder Single Malt mit Honig, Vanille, dunkler Frucht und sanfter Würze. Zugänglich und weich, ideal für Gäste, die Scotch kennenlernen möchten, ohne Rauch oder Schwere im Glas zu haben."
Glenmorangie Quinta Ruban 14,Whisky,Scotch Single Malt,1 Flasche,Unbekannt,"Süß, Nussig, Zitrisch, Fruchtig","Pur, Digestif, Spirit-Forward","Highland Single Malt mit Portwein-Einfluss, dunkler Schokolade, Orange, Nuss und warmer Süße. Elegant, dessertnah und sehr passend als ruhiger Digestif."
Jack Daniel’s Honey,Whisky,Flavored Whiskey,1 Flasche,Unbekannt,Süß,"Longdrink & Highball, Modifier, Cocktailbasis","Süßer Whiskey-Likör auf Tennessee-Whiskey-Basis mit Honig, Vanille und weicher Würze. Am besten für einfache Highballs, Dessertdrinks oder Gäste, die Whiskey milder und süßer mögen."
Jack Daniel’s Tennessee Apple,Whisky,Flavored Whiskey,1 Flasche,Unbekannt,"Fruchtig, Süß","Longdrink & Highball, Modifier, Cocktailbasis","Fruchtiger Whiskey-Likör mit grünem Apfel, Vanille und sanfter Tennessee-Whiskey-Wärme. Unkompliziert für Highballs, Apple-Whiskey-Drinks und süß-frische Gästedrinks."
Johnnie Walker 18 Years,Whisky,Blended Scotch,1 Flasche,Unbekannt,"Zitrisch, Nussig, Süß, Rauchig","Pur, Digestif, Spirit-Forward","Eleganter Blended Scotch mit Zitrusfrucht, Mandeln, warmer Vanille und dezenter Rauchigkeit. Ausgewogen, weich und lang im Abgang — ein sehr guter Whisky für Gäste, die Tiefe ohne Härte suchen."
Johnnie Walker Blue Label,Whisky,Blended Scotch,1 Flasche,Unbekannt,"Süß, Floral, Rauchig","Pur, Digestif, Spirit-Forward","Luxuriöser Blended Scotch mit Vanille, Honig, floraler Eleganz und feinem Rauch. Weich, tief und rund — ein Whisky für ruhige, besondere Momente und puren Genuss."
Johnnie Walker Gold Label Reserve,Whisky,Blended Scotch,1 Flasche,Unbekannt,"Süß, Fruchtig, Rauchig","Pur, Longdrink & Highball, Spirit-Forward","Runder Blended Scotch mit Honig, Vanille, tropischer Frucht und einem sanften Rauchhauch. Weich, zugänglich und festlich — ideal pur, auf Eis oder als gehobener Whisky-Highball."
Knob Creek 9,Whisky,Bourbon,1 Flasche,Unbekannt,"Süß, Nussig, Trocken","Pur, Cocktailbasis, Spirit-Forward, Frisch & Sour","Kräftiger Kentucky Bourbon mit Vanille, Karamell, gerösteter Eiche und nussiger Tiefe. Voll, würzig und trocken genug für klassische Bourbon-Drinks, aber auch pur ein sehr charaktervoller Hausbar-Whiskey."
Legent Bourbon,Whisky,Bourbon,1 Flasche,Geöffnet,"Süß, Fruchtig","Pur, Spirit-Forward, Cocktailbasis","Eleganter Kentucky Bourbon mit Vanille, Karamell, Trockenfrucht und warmer Eiche. Durch Wein- und Sherryfass-Einflüsse wirkt er fruchtiger und runder als klassische Bourbons, ohne seine kräftige Bourbon-Basis zu verlieren."
Maker’s Mark 46,Whisky,Bourbon,1 Flasche,Unbekannt,"Süß, Nussig","Pur, Cocktailbasis, Spirit-Forward","Weicher Bourbon mit Vanille, Karamell, gerösteter Eiche und warmer Zimtwürze. Runder und komplexer als der klassische Maker’s Mark, aber immer noch zugänglich und sehr angenehm pur oder in kräftigen Bourbon-Drinks."
Nikka From The Barrel,Whisky,Japanese Whisky,1 Flasche,Unbekannt,"Süß, Zitrisch, Fruchtig","Pur, Spirit-Forward, Longdrink & Highball","Kraftvoller japanischer Whisky mit dichter Struktur, Orange, Vanille, Karamell und würziger Tiefe. Intensiv, konzentriert und elegant — besonders gut für puren Genuss, auf Eis oder sehr klare Spirit-Forward-Drinks."
Nikka Miyagikyo Single Malt,Whisky,Japanese Single Malt,1 Flasche,Unbekannt,"Fruchtig, Floral, Süß","Pur, Digestif, Spirit-Forward","Eleganter japanischer Single Malt mit Apfel, floraler Frische, sanfter Süße und feiner Würze. Leichter und filigraner als viele kräftige Whiskys — ideal für Gäste, die einen ruhigen, fruchtigen und eleganten Whisky suchen."
The Balvenie Caribbean Cask 14,Whisky,Scotch Single Malt,1 Flasche,Unbekannt,"Süß, Fruchtig","Pur, Digestif, Spirit-Forward","Weicher Single Malt mit Honig, Toffee, Vanille und einem Hauch tropischer Frucht. Das Rumfass-Finish macht ihn rund, warm und sehr zugänglich — ein schöner Whisky für Gäste, die milde, süßere Stile mögen."
The Dalmore Port Wood Reserve,Whisky,Scotch Single Malt,1 Flasche,Unbekannt,"Fruchtig, Süß, Nussig, Zitrisch","Pur, Digestif, Spirit-Forward","Opulenter Single Malt mit roter Frucht, Orange, Karamell und dunkler Süße. Voll, elegant und genussorientiert — ein Whisky für den ruhigen Moment nach dem Essen."
Woodford Reserve,Whisky,Bourbon,1 Flasche,Unbekannt,"Süß, Nussig, Zitrisch","Pur, Cocktailbasis, Spirit-Forward, Frisch & Sour","Klassischer Kentucky Bourbon mit Vanille, Karamell, Orange, gerösteter Eiche und nussiger Würze. Rund, balanciert und vielseitig — stark genug für Old Fashioned und Whiskey Sour, aber weich genug für den puren Einstieg."
REWE Beste Wahl Holunderblüte Getränkesirup,Sirup / Mixer,Sirup,1 Flasche,Unbekannt,"Floral, Süß","Modifier, Spritz, Longdrink & Highball","Alkoholfreier Holunderblütensirup mit floraler Süße für Spritz-Drinks, Limonaden und leichte Highballs. Er bringt schnell Frische und Blütenaroma ins Glas, ohne die Spirituose zu dominieren."
Riemerschmid Rohrzucker Bar-Sirup,Sirup / Mixer,Sirup,1 Flasche,Unbekannt,Süß,"Modifier, Frisch & Sour, Longdrink & Highball, Cocktailbasis","Klassischer Rohrzuckersirup für saubere, neutrale Süße in Cocktails. Besonders praktisch für Sours, Daiquiris, Highballs und Drinks, bei denen Zucker Struktur geben soll, ohne eigene Aromatik vorzudrängen."
Western Gold Kentucky Bourbon Whiskey,Whisky,Bourbon,1 Flasche,Unbekannt,Süß,"Cocktailbasis, Spirit-Forward, Pur","Geradliniger Kentucky Bourbon mit Vanille, Karamell und leichter Eichenwürze. Ein unkomplizierter Hausbar-Bourbon für einfache Whiskey-Drinks, Longdrinks und klassische Bourbon-Cocktails."
